order_date,product,quantity,amount
2019-01-07,p1144371,1,3100
2019-01-07,p1012811,1,2500
2019-01-07,p1005891,1,1950
2019-01-07,p1235451,1,1227
2019-01-07,p1001771,1,3150
2019-01-07,p1246581,2,2272
2019-01-07,p1178011,1,8800
2019-01-07,p1013161,1,2900
2019-01-07,p1012581,1,1000
2019-01-07,p1119071,1,1091
2019-01-07,p1072601,1,4600
2019-01-07,p1194801,1,8200
2019-01-07,p1005891,1,1950
2019-01-07,p1005891,2,3900
2019-01-07,p1175481,2,2600
2019-01-07,p1012751,1,1350
2019-01-07,p1005891,1,1950
2019-01-07,p1175481,2,2600
2019-01-07,p1052661,3,4365
2019-01-07,p1089531,1,2600
2019-01-07,p1011291,1,273
2019-01-07,p1178011,1,8800
2019-01-07,p1012761,1,1700
2019-01-07,p1030071,1,3950
2019-01-07,p1175481,1,1300
2019-01-07,p1005891,1,1950
2019-01-07,p1175481,1,1300
2019-01-07,p1072601,1,4600
