OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
70,3,2016-06-30,p1097821,1,1000,c111750
71,1,2016-06-30,p1072601,1,4600,c141835
71,2,2016-06-30,p1152861,2,2182,c141835
72,1,2016-06-30,p1012751,1,1250,c189576
72,2,2016-06-30,p1012581,2,2100,c189576
73,1,2016-06-30,p1013161,1,2950,c221668
73,2,2016-06-30,p1191881,1,1750,c221668
73,3,2016-06-30,p1211951,2,3400,c221668
74,1,2016-06-30,p1005771,1,1850,c222461
75,1,2016-06-30,p1097821,1,1000,c259666
76,1,2016-06-30,p1234751,1,818,c283663
77,1,2016-06-30,p1284851,1,2750,c307057
78,1,2016-06-30,p1284851,1,2750,c309773
79,1,2016-06-30,p1211951,1,1700,c343469
79,2,2016-06-30,p1012951,1,1200,c343469
80,1,2016-06-30,p1005891,1,1950,c359997
1,1,2016-07-01,p1231011,2,1818,c060045
2,1,2016-07-01,p1191881,1,1750,c090147
3,1,2016-07-01,p1030071,1,2450,c127482
3,2,2016-07-01,p1144371,1,1250,c127482
3,3,2016-07-01,p1159481,1,1650,c127482
4,1,2016-07-01,p1052661,1,1455,c220028
5,1,2016-07-01,p1072601,1,4600,c221444
5,2,2016-07-01,p1144371,1,1250,c221444
5,3,2016-07-01,p1005621,1,2900,c221444
6,1,2016-07-01,p1012951,1,1200,c256672
7,1,2016-07-01,p1200641,1,5200,c046178
7,2,2016-07-01,p1036481,1,1050,c046178
7,3,2016-07-01,p1175481,1,1300,c046178
7,4,2016-07-01,p1005771,1,1850,c046178
8,1,2016-07-01,p1030071,1,2450,c084957
9,1,2016-07-01,p1005771,1,1850,c091271
9,2,2016-07-01,p1012761,1,1900,c091271
